Customer Type,Class,Gender,Age,Type of Travel,Flight Distance,Checkin service,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Loyal Customer,Eco,Male,38,Business travel,419,4,1,0,neutral or dissatisfied
Loyal Customer,Eco,Male,9,Personal Travel,574,5,0,1,satisfied
disloyal Customer,Eco,Female,16,Business travel,784,4,0,0,satisfied
Loyal Customer,Business,Male,50,Business travel,227,4,0,0,satisfied
Loyal Customer,Business,Female,37,Business travel,2950,2,0,0,satisfied
Loyal Customer,Business,Female,52,Business travel,1538,3,69,48,satisfied
disloyal Customer,Business,Female,29,Business travel,907,4,93,91,neutral or dissatisfied
Loyal Customer,Business,Male,60,Business travel,2845,3,46,45,satisfied
Loyal Customer,Business,Male,45,Business travel,997,5,0,12,satisfied
disloyal Customer,Business,Female,21,Business travel,214,5,0,0,satisfied
disloyal Customer,Business,Male,39,Business travel,957,4,62,55,neutral or dissatisfied
Loyal Customer,Business,Female,52,Business travel,2798,4,136,125,satisfied
disloyal Customer,Business,Female,40,Business travel,604,2,0,0,neutral or dissatisfied
disloyal Customer,Eco,Male,38,Business travel,1448,1,7,0,neutral or dissatisfied
disloyal Customer,Business,Female,26,Business travel,358,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,17,Business travel,1589,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,16,Business travel,1535,2,0,0,satisfied
Loyal Customer,Eco,Male,15,Personal Travel,309,5,5,16,neutral or dissatisfied
Loyal Customer,Eco,Female,62,Personal Travel,1164,5,29,25,neutral or dissatisfied
Loyal Customer,Business,Male,35,Business travel,1882,5,2,0,satisfied
Loyal Customer,Business,Male,52,Business travel,190,3,0,0,neutral or dissatisfied
disloyal Customer,Eco,Female,25,Business travel,926,2,10,6,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,61,Personal Travel,328,2,8,3,neutral or dissatisfied
Loyal Customer,Eco,Female,29,Personal Travel,489,3,13,12,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,79,Business travel,430,5,0,0,satisfied
Loyal Customer,Eco,Female,8,Personal Travel,677,1,0,0,neutral or dissatisfied
disloyal Customer,Business,Male,24,Business travel,1235,5,0,0,satisfied
disloyal Customer,Business,Female,43,Business travel,1727,5,17,47,neutral or dissatisfied
Loyal Customer,Eco,Female,20,Personal Travel,733,1,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,24,Business travel,788,3,0,0,satisfied
disloyal Customer,Business,Female,36,Business travel,867,3,29,49,neutral or dissatisfied
disloyal Customer,Business,Female,26,Business travel,679,4,0,0,neutral or dissatisfied
disloyal Customer,Business,Female,38,Business travel,1587,4,0,18,neutral or dissatisfied
Loyal Customer,Business,Male,43,Business travel,1746,3,0,0,satisfied
disloyal Customer,Eco,Male,39,Business travel,397,2,29,22,neutral or dissatisfied
Loyal Customer,Business,Male,61,Business travel,3346,1,17,25,satisfied
Loyal Customer,Business,Female,45,Business travel,425,2,28,22,neutral or dissatisfied
Loyal Customer,Eco,Female,41,Business travel,1372,1,0,0,satisfied
Loyal Customer,Business,Female,59,Business travel,1464,4,0,0,satisfied
Loyal Customer,Eco,Male,35,Business travel,925,4,34,35,satisfied
Loyal Customer,Eco,Male,21,Personal Travel,308,1,0,0,satisfied
Loyal Customer,Business,Male,38,Business travel,462,5,0,0,satisfied
disloyal Customer,Eco,Male,23,Business travel,134,3,15,6,neutral or dissatisfied
Loyal Customer,Business,Female,41,Business travel,2901,4,0,10,neutral or dissatisfied
Loyal Customer,Business,Male,51,Business travel,1532,5,0,0,satisfied
disloyal Customer,Eco,Male,19,Business travel,315,3,0,0,satisfied
Loyal Customer,Business,Female,38,Business travel,2944,5,4,0,satisfied
disloyal Customer,Business,Male,36,Business travel,1706,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,27,Business travel,304,3,0,0,satisfied
Loyal Customer,Business,Female,55,Business travel,946,3,2,0,satisfied
disloyal Customer,Business,Male,46,Business travel,383,5,25,7,satisfied
disloyal Customer,Business,Male,31,Business travel,1814,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,59,Business travel,134,3,0,10,satisfied
Loyal Customer,Business,Male,31,Personal Travel,894,5,14,11,neutral or dissatisfied
Loyal Customer,Eco,Male,36,Business travel,606,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,41,Personal Travel,1546,3,0,0,neutral or dissatisfied
disloyal Customer,Eco,Male,25,Business travel,732,5,0,0,satisfied
Loyal Customer,Eco,Female,31,Personal Travel,444,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,47,Business travel,1448,5,2,0,satisfied
Loyal Customer,Business,Male,43,Business travel,1677,1,0,0,satisfied
Loyal Customer,Eco,Male,64,Personal Travel,689,3,73,66,neutral or dissatisfied
Loyal Customer,Eco,Female,53,Personal Travel,1045,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,65,Business travel,431,4,70,85,neutral or dissatisfied
Loyal Customer,Eco,Male,56,Personal Travel,366,1,2,2,neutral or dissatisfied
Loyal Customer,Eco,Female,62,Personal Travel,2402,5,0,17,neutral or dissatisfied
Loyal Customer,Business,Female,58,Business travel,2948,3,0,0,satisfied
Loyal Customer,Eco,Male,64,Personal Travel,1337,4,0,8,neutral or dissatisfied
disloyal Customer,Business,Female,38,Business travel,222,4,0,0,neutral or dissatisfied
disloyal Customer,Eco,Male,35,Business travel,175,4,0,0,neutral or dissatisfied
disloyal Customer,Business,Female,39,Business travel,594,5,7,5,neutral or dissatisfied
disloyal Customer,Business,Female,27,Business travel,1721,5,60,47,neutral or dissatisfied
Loyal Customer,Eco,Male,44,Business travel,261,4,0,0,satisfied
Loyal Customer,Business,Female,57,Business travel,2084,1,0,2,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,29,Business travel,641,4,0,0,satisfied
Loyal Customer,Eco,Male,56,Business travel,264,2,0,0,neutral or dissatisfied
disloyal Customer,Business,Female,37,Business travel,420,4,14,39,neutral or dissatisfied
disloyal Customer,Business,Female,25,Business travel,1197,3,154,149,satisfied
Loyal Customer,Business,Female,57,Business travel,3582,4,0,0,satisfied
disloyal Customer,Eco,Female,23,Business travel,983,1,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,25,Personal Travel,502,2,18,13,neutral or dissatisfied
Loyal Customer,Business,Female,29,Business travel,1046,4,0,0,satisfied
Loyal Customer,Business,Male,45,Business travel,2150,3,34,35,satisfied
Loyal Customer,Eco Plus,Male,12,Personal Travel,1188,5,0,2,neutral or dissatisfied
disloyal Customer,Business,Female,32,Business travel,237,3,0,43,neutral or dissatisfied
Loyal Customer,Business,Female,44,Business travel,2968,5,0,0,satisfied
Loyal Customer,Eco,Male,58,Personal Travel,1211,3,9,22,neutral or dissatisfied
Loyal Customer,Business,Female,49,Business travel,2496,4,44,31,neutral or dissatisfied
Loyal Customer,Business,Female,49,Business travel,3618,5,0,0,satisfied
Loyal Customer,Eco,Male,34,Business travel,298,2,0,0,satisfied
Loyal Customer,Business,Male,37,Business travel,3444,2,0,0,satisfied
disloyal Customer,Business,Male,25,Business travel,602,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,37,Personal Travel,1073,3,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,27,Personal Travel,1303,2,0,0,neutral or dissatisfied
disloyal Customer,Business,Male,47,Business travel,769,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,59,Business travel,1744,3,0,0,satisfied
Loyal Customer,Business,Male,60,Business travel,3301,3,19,27,satisfied
Loyal Customer,Business,Male,24,Business travel,1726,1,2,0,neutral or dissatisfied
disloyal Customer,Business,Male,40,Business travel,589,5,21,6,satisfied
Loyal Customer,Eco,Male,22,Business travel,581,1,1,2,neutral or dissatisfied
Loyal Customer,Business,Male,44,Business travel,1778,4,23,20,satisfied
Loyal Customer,Eco Plus,Male,32,Personal Travel,1028,2,69,63,neutral or dissatisfied
Loyal Customer,Business,Male,45,Business travel,1776,1,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,31,Personal Travel,639,3,0,7,neutral or dissatisfied
Loyal Customer,Business,Male,59,Business travel,3243,5,57,44,satisfied
disloyal Customer,Eco,Female,25,Business travel,258,5,1,5,neutral or dissatisfied
Loyal Customer,Eco,Male,68,Personal Travel,361,5,0,0,satisfied
Loyal Customer,Eco,Female,25,Personal Travel,594,2,0,3,satisfied
Loyal Customer,Eco,Female,8,Personal Travel,236,5,9,14,neutral or dissatisfied
Loyal Customer,Business,Female,56,Business travel,2402,3,26,0,satisfied
Loyal Customer,Eco,Male,26,Personal Travel,817,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,52,Business travel,522,4,0,4,satisfied
Loyal Customer,Business,Male,60,Business travel,2385,3,15,0,satisfied
Loyal Customer,Business,Male,56,Business travel,3912,3,29,20,neutral or dissatisfied
Loyal Customer,Business,Male,54,Personal Travel,859,3,0,6,neutral or dissatisfied
disloyal Customer,Business,Male,17,Business travel,227,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,43,Business travel,2029,4,4,15,satisfied
Loyal Customer,Eco,Female,39,Personal Travel,239,5,61,57,neutral or dissatisfied
disloyal Customer,Eco,Female,25,Business travel,986,1,4,10,neutral or dissatisfied
disloyal Customer,Eco,Female,45,Business travel,304,2,23,21,neutral or dissatisfied
disloyal Customer,Eco,Female,22,Business travel,1199,1,0,33,satisfied
Loyal Customer,Business,Male,16,Business travel,2912,3,0,0,satisfied
Loyal Customer,Business,Female,70,Business travel,3405,2,11,0,satisfied
Loyal Customer,Eco Plus,Female,30,Business travel,1249,2,1,0,satisfied
Loyal Customer,Eco,Male,33,Personal Travel,374,5,0,24,neutral or dissatisfied
Loyal Customer,Business,Female,32,Business travel,2762,5,0,0,satisfied
Loyal Customer,Eco Plus,Male,52,Personal Travel,854,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,30,Business travel,2072,2,56,79,neutral or dissatisfied
disloyal Customer,Eco,Female,39,Business travel,183,5,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,39,Personal Travel,1694,1,6,3,neutral or dissatisfied
Loyal Customer,Eco,Female,60,Personal Travel,1598,1,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,58,Business travel,2529,4,0,0,satisfied
Loyal Customer,Business,Male,40,Business travel,2433,3,0,0,satisfied
Loyal Customer,Eco,Female,30,Personal Travel,696,4,4,0,neutral or dissatisfied
Loyal Customer,Business,Female,44,Business travel,201,5,0,0,satisfied
Loyal Customer,Business,Male,42,Business travel,1947,5,3,0,satisfied
disloyal Customer,Business,Male,46,Business travel,2521,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,21,Personal Travel,1096,1,31,33,neutral or dissatisfied
Loyal Customer,Business,Female,51,Business travel,3596,3,0,0,satisfied
disloyal Customer,Business,Female,33,Business travel,356,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,37,Business travel,119,2,3,1,neutral or dissatisfied
Loyal Customer,Business,Female,54,Business travel,2538,3,0,1,satisfied
Loyal Customer,Business,Female,44,Business travel,2913,4,0,0,satisfied
Loyal Customer,Eco,Male,72,Business travel,856,2,20,3,satisfied
disloyal Customer,Eco,Male,43,Business travel,188,2,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,34,Personal Travel,417,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,23,Personal Travel,268,2,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,54,Business travel,1947,3,5,0,neutral or dissatisfied
Loyal Customer,Eco,Male,14,Business travel,822,1,26,13,neutral or dissatisfied
Loyal Customer,Business,Female,52,Business travel,1460,3,0,1,satisfied
Loyal Customer,Business,Female,30,Business travel,1998,3,0,0,satisfied
Loyal Customer,Business,Female,53,Business travel,1922,3,25,44,satisfied
Loyal Customer,Business,Male,8,Business travel,1535,3,36,6,neutral or dissatisfied
Loyal Customer,Eco,Female,51,Business travel,581,2,0,0,neutral or dissatisfied
disloyal Customer,Eco,Male,23,Business travel,352,1,1,10,neutral or dissatisfied
Loyal Customer,Business,Male,46,Business travel,3270,5,0,0,satisfied
Loyal Customer,Business,Female,44,Business travel,3856,3,0,0,satisfied
disloyal Customer,Eco,Female,20,Business travel,775,2,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,23,Personal Travel,1013,4,0,0,satisfied
Loyal Customer,Eco,Male,69,Personal Travel,355,3,0,0,satisfied
Loyal Customer,Eco,Female,63,Personal Travel,516,4,0,0,neutral or dissatisfied
disloyal Customer,Eco,Female,25,Business travel,441,3,21,12,neutral or dissatisfied
disloyal Customer,Eco,Female,27,Business travel,302,2,17,56,neutral or dissatisfied
disloyal Customer,Eco,Male,24,Business travel,764,3,3,0,neutral or dissatisfied
disloyal Customer,Business,Female,27,Business travel,850,3,0,2,neutral or dissatisfied
Loyal Customer,Business,Female,37,Business travel,1953,1,0,0,satisfied
Loyal Customer,Eco Plus,Female,26,Business travel,246,4,0,0,satisfied
disloyal Customer,Eco,Female,39,Business travel,674,1,85,96,satisfied
Loyal Customer,Eco,Female,65,Personal Travel,299,5,22,28,neutral or dissatisfied
disloyal Customer,Business,Female,27,Business travel,502,5,0,0,neutral or dissatisfied
disloyal Customer,Business,Male,80,Business travel,277,3,34,33,satisfied
Loyal Customer,Business,Male,55,Business travel,937,3,18,6,satisfied
Loyal Customer,Eco Plus,Female,29,Personal Travel,236,2,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,55,Business travel,2917,4,0,12,satisfied
Loyal Customer,Business,Male,33,Business travel,1503,4,8,8,neutral or dissatisfied
Loyal Customer,Business,Female,28,Business travel,2137,1,0,0,satisfied
disloyal Customer,Business,Female,43,Business travel,587,4,0,0,neutral or dissatisfied
disloyal Customer,Eco,Female,55,Business travel,308,4,97,94,neutral or dissatisfied
Loyal Customer,Eco,Female,49,Personal Travel,447,3,0,0,satisfied
Loyal Customer,Business,Female,38,Business travel,345,5,0,0,satisfied
Loyal Customer,Business,Male,53,Business travel,2475,4,0,2,satisfied
Loyal Customer,Eco,Male,18,Personal Travel,391,1,12,6,neutral or dissatisfied
Loyal Customer,Business,Male,24,Business travel,1721,4,12,39,neutral or dissatisfied
Loyal Customer,Eco,Female,40,Personal Travel,927,2,0,0,neutral or dissatisfied
disloyal Customer,Eco,Female,11,Business travel,528,1,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,53,Business travel,2435,1,36,37,neutral or dissatisfied
Loyal Customer,Business,Female,25,Personal Travel,1521,3,23,44,neutral or dissatisfied
Loyal Customer,Eco,Male,49,Personal Travel,669,4,8,0,satisfied
Loyal Customer,Business,Female,47,Business travel,594,4,0,0,satisfied
Loyal Customer,Eco,Female,54,Personal Travel,461,3,0,3,neutral or dissatisfied
Loyal Customer,Business,Male,23,Business travel,3130,2,35,53,satisfied
Loyal Customer,Eco,Female,27,Personal Travel,666,4,25,1,neutral or dissatisfied
Loyal Customer,Eco,Female,16,Personal Travel,201,4,43,34,neutral or dissatisfied
Loyal Customer,Business,Female,46,Business travel,594,4,0,0,satisfied
Loyal Customer,Business,Male,54,Business travel,2650,5,143,148,satisfied
Loyal Customer,Eco,Female,43,Personal Travel,1773,1,7,0,neutral or dissatisfied
Loyal Customer,Business,Male,44,Business travel,417,5,0,0,satisfied
disloyal Customer,Business,Male,27,Business travel,227,5,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,32,Personal Travel,1475,4,6,0,neutral or dissatisfied
disloyal Customer,Business,Male,45,Business travel,214,1,8,5,neutral or dissatisfied
disloyal Customer,Business,Female,40,Business travel,452,4,61,68,neutral or dissatisfied
Loyal Customer,Business,Female,37,Business travel,986,3,23,4,satisfied
Loyal Customer,Eco,Female,49,Personal Travel,516,4,12,0,neutral or dissatisfied
Loyal Customer,Eco,Female,20,Personal Travel,1092,2,6,7,neutral or dissatisfied
Loyal Customer,Business,Female,41,Business travel,2956,4,0,0,satisfied
Loyal Customer,Eco,Male,39,Personal Travel,239,3,0,0,neutral or dissatisfied
disloyal Customer,Business,Male,25,Business travel,468,4,15,9,neutral or dissatisfied
Loyal Customer,Business,Male,29,Business travel,1723,4,2,17,satisfied
Loyal Customer,Business,Male,34,Business travel,621,4,0,0,satisfied
disloyal Customer,Eco,Female,24,Business travel,834,1,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,43,Business travel,689,3,13,5,satisfied
Loyal Customer,Eco,Male,21,Personal Travel,1276,4,4,6,neutral or dissatisfied
Loyal Customer,Eco,Male,67,Personal Travel,335,2,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,35,Business travel,327,2,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,18,Business travel,1400,5,0,20,satisfied
Loyal Customer,Business,Female,22,Business travel,1624,5,0,0,satisfied
disloyal Customer,Eco,Male,27,Business travel,201,5,18,18,neutral or dissatisfied
Loyal Customer,Business,Male,41,Business travel,1754,3,5,14,satisfied
disloyal Customer,Eco Plus,Male,39,Business travel,373,4,0,0,neutral or dissatisfied
disloyal Customer,Eco,Female,25,Business travel,1208,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,16,Personal Travel,528,3,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,36,Business travel,134,2,0,0,satisfied
Loyal Customer,Eco,Female,41,Business travel,990,1,12,12,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,23,Personal Travel,190,1,83,90,satisfied
Loyal Customer,Eco,Male,35,Personal Travel,135,5,0,16,neutral or dissatisfied
Loyal Customer,Eco,Male,32,Personal Travel,764,4,0,0,satisfied
Loyal Customer,Business,Female,30,Business travel,2142,5,19,24,satisfied
Loyal Customer,Business,Male,13,Business travel,1864,4,10,18,satisfied
Loyal Customer,Eco,Female,23,Personal Travel,273,2,0,0,satisfied
Loyal Customer,Eco,Male,57,Personal Travel,397,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,24,Business travel,479,4,20,24,satisfied
Loyal Customer,Business,Male,50,Business travel,925,5,0,0,satisfied
Loyal Customer,Business,Female,51,Business travel,3765,5,5,1,satisfied
disloyal Customer,Business,Female,34,Business travel,427,3,12,0,neutral or dissatisfied
disloyal Customer,Eco,Female,22,Business travel,859,5,70,64,neutral or dissatisfied
Loyal Customer,Business,Female,68,Business travel,369,4,8,5,satisfied
Loyal Customer,Business,Female,56,Business travel,1806,3,4,0,satisfied
Loyal Customer,Eco,Male,25,Personal Travel,1911,3,40,65,neutral or dissatisfied
Loyal Customer,Business,Male,46,Business travel,3840,4,0,6,satisfied
Loyal Customer,Eco,Male,34,Personal Travel,297,5,9,0,neutral or dissatisfied
Loyal Customer,Business,Female,36,Business travel,2048,3,0,0,satisfied
Loyal Customer,Business,Female,53,Business travel,2651,5,0,0,satisfied
Loyal Customer,Eco,Male,30,Personal Travel,1744,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,40,Business travel,2402,4,32,11,satisfied
Loyal Customer,Business,Female,26,Business travel,2697,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,57,Business travel,2079,5,0,0,satisfied
Loyal Customer,Eco,Male,44,Business travel,438,5,0,9,satisfied
Loyal Customer,Eco,Male,32,Personal Travel,936,4,4,0,neutral or dissatisfied
Loyal Customer,Business,Male,52,Business travel,1585,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,15,Personal Travel,2338,2,0,5,satisfied
Loyal Customer,Business,Male,60,Business travel,2667,4,0,0,satisfied
Loyal Customer,Business,Female,33,Business travel,213,5,0,0,satisfied
Loyal Customer,Eco,Female,43,Business travel,852,3,13,27,satisfied
Loyal Customer,Business,Male,44,Business travel,3764,3,56,42,satisfied
Loyal Customer,Business,Male,60,Business travel,2438,5,0,0,satisfied
Loyal Customer,Eco,Male,7,Personal Travel,1056,2,21,15,neutral or dissatisfied
Loyal Customer,Business,Female,20,Business travel,157,3,2,14,neutral or dissatisfied
Loyal Customer,Eco,Female,24,Personal Travel,762,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,78,Business travel,2708,3,0,0,satisfied
Loyal Customer,Business,Female,30,Business travel,965,4,0,0,satisfied
Loyal Customer,Eco,Male,52,Business travel,675,3,0,2,satisfied
Loyal Customer,Business,Male,52,Business travel,874,2,15,21,neutral or dissatisfied
Loyal Customer,Eco,Male,23,Business travel,707,3,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,9,Personal Travel,501,1,80,133,neutral or dissatisfied
Loyal Customer,Eco,Female,36,Business travel,387,1,0,0,satisfied
Loyal Customer,Eco,Male,66,Personal Travel,1749,3,2,0,satisfied
Loyal Customer,Eco,Female,69,Personal Travel,1121,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,43,Business travel,3700,3,0,11,satisfied
Loyal Customer,Eco Plus,Male,36,Personal Travel,1476,5,3,0,neutral or dissatisfied
Loyal Customer,Business,Male,59,Business travel,1723,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,17,Personal Travel,1865,4,13,5,neutral or dissatisfied
Loyal Customer,Business,Female,16,Business travel,1562,2,22,16,neutral or dissatisfied
Loyal Customer,Eco,Female,44,Personal Travel,227,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,46,Business travel,2235,1,0,1,neutral or dissatisfied
disloyal Customer,Eco,Female,37,Business travel,328,2,15,7,neutral or dissatisfied
Loyal Customer,Eco,Male,35,Business travel,342,1,22,28,neutral or dissatisfied
Loyal Customer,Eco,Male,44,Personal Travel,351,5,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,60,Business travel,628,3,7,0,neutral or dissatisfied
disloyal Customer,Business,Female,35,Business travel,668,4,82,87,neutral or dissatisfied
Loyal Customer,Business,Male,39,Business travel,1931,3,0,7,satisfied
Loyal Customer,Business,Male,24,Business travel,192,2,67,64,neutral or dissatisfied
Loyal Customer,Business,Male,50,Business travel,2447,4,7,13,satisfied
Loyal Customer,Business,Male,50,Business travel,3929,5,18,5,satisfied
Loyal Customer,Eco Plus,Male,65,Personal Travel,109,1,1,0,neutral or dissatisfied
Loyal Customer,Business,Female,62,Personal Travel,946,2,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,46,Business travel,985,5,0,0,satisfied
Loyal Customer,Business,Male,46,Business travel,130,3,0,0,satisfied
disloyal Customer,Business,Female,27,Business travel,337,3,5,1,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,21,Personal Travel,227,3,0,0,satisfied
Loyal Customer,Business,Male,47,Business travel,1569,4,0,0,satisfied
Loyal Customer,Eco,Female,46,Business travel,479,3,0,0,satisfied
disloyal Customer,Eco,Female,21,Business travel,990,4,3,0,neutral or dissatisfied
disloyal Customer,Business,Male,25,Business travel,907,5,0,0,satisfied
Loyal Customer,Eco,Female,64,Personal Travel,550,3,10,0,neutral or dissatisfied
Loyal Customer,Eco,Male,61,Personal Travel,200,4,8,13,neutral or dissatisfied
Loyal Customer,Eco,Male,55,Personal Travel,836,5,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,30,Business travel,2787,5,0,0,satisfied
Loyal Customer,Business,Female,23,Personal Travel,1721,5,0,4,neutral or dissatisfied
disloyal Customer,Business,Male,27,Business travel,825,3,2,0,neutral or dissatisfied
Loyal Customer,Business,Male,54,Business travel,3183,4,0,0,satisfied
Loyal Customer,Eco,Male,60,Business travel,101,4,0,0,satisfied
Loyal Customer,Eco,Male,23,Personal Travel,370,1,7,0,neutral or dissatisfied
Loyal Customer,Business,Female,52,Business travel,3739,5,0,4,satisfied
Loyal Customer,Eco Plus,Female,11,Personal Travel,143,2,0,0,satisfied
Loyal Customer,Eco,Male,53,Personal Travel,1208,1,8,13,neutral or dissatisfied
Loyal Customer,Business,Male,12,Business travel,1487,2,0,16,neutral or dissatisfied
Loyal Customer,Business,Female,38,Business travel,492,2,0,0,neutral or dissatisfied
disloyal Customer,Eco,Female,20,Business travel,531,2,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,33,Business travel,406,3,0,0,satisfied
Loyal Customer,Eco,Male,63,Personal Travel,216,2,2,2,neutral or dissatisfied
disloyal Customer,Eco,Female,22,Business travel,721,2,5,0,neutral or dissatisfied
Loyal Customer,Business,Male,55,Business travel,3782,4,0,0,satisfied
Loyal Customer,Business,Female,55,Business travel,2271,4,1,0,satisfied
Loyal Customer,Eco,Male,67,Personal Travel,641,5,13,8,neutral or dissatisfied
Loyal Customer,Business,Male,42,Business travel,224,3,0,0,satisfied
disloyal Customer,Business,Female,26,Business travel,235,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,48,Business travel,2447,4,0,0,satisfied
Loyal Customer,Eco,Male,49,Personal Travel,1222,2,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,68,Personal Travel,1592,4,6,1,neutral or dissatisfied
Loyal Customer,Eco,Female,23,Personal Travel,386,5,0,1,neutral or dissatisfied
Loyal Customer,Business,Male,55,Business travel,2555,5,7,11,satisfied
Loyal Customer,Eco Plus,Male,15,Personal Travel,312,4,5,0,neutral or dissatisfied
Loyal Customer,Eco,Male,68,Personal Travel,583,3,144,149,neutral or dissatisfied
Loyal Customer,Business,Male,34,Business travel,2184,5,0,0,satisfied
Loyal Customer,Eco,Male,15,Personal Travel,134,1,1,0,neutral or dissatisfied
Loyal Customer,Business,Male,28,Business travel,689,4,0,0,satisfied
Loyal Customer,Business,Female,21,Business travel,2248,4,14,0,satisfied
Loyal Customer,Eco,Female,66,Personal Travel,323,5,1,2,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,33,Business travel,1027,2,0,0,satisfied
Loyal Customer,Eco Plus,Female,54,Personal Travel,408,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,46,Business travel,628,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,29,Business travel,1452,3,2,5,satisfied
disloyal Customer,Eco,Male,48,Business travel,1050,1,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,19,Personal Travel,967,4,26,27,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,37,Personal Travel,845,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,23,Personal Travel,930,5,2,1,neutral or dissatisfied
disloyal Customer,Business,Male,48,Business travel,1005,3,32,41,neutral or dissatisfied
Loyal Customer,Eco,Male,52,Business travel,308,2,1,2,neutral or dissatisfied
disloyal Customer,Eco,Male,17,Business travel,345,3,0,0,satisfied
disloyal Customer,Eco,Female,10,Business travel,1303,3,45,65,neutral or dissatisfied
Loyal Customer,Eco,Male,44,Business travel,971,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,35,Business travel,3252,4,0,0,satisfied
Loyal Customer,Business,Female,56,Business travel,2076,3,0,0,satisfied
Loyal Customer,Business,Female,41,Business travel,3738,3,46,34,neutral or dissatisfied
Loyal Customer,Eco,Female,60,Personal Travel,432,4,0,0,satisfied
Loyal Customer,Eco,Female,31,Personal Travel,1747,3,9,5,neutral or dissatisfied
Loyal Customer,Business,Female,40,Business travel,2245,4,0,0,satisfied
Loyal Customer,Business,Male,59,Business travel,3548,4,0,0,satisfied
disloyal Customer,Eco,Female,18,Business travel,969,5,0,0,neutral or dissatisfied
disloyal Customer,Eco,Male,35,Business travel,67,3,49,56,neutral or dissatisfied
Loyal Customer,Eco,Male,16,Personal Travel,429,5,0,0,neutral or dissatisfied
disloyal Customer,Business,Female,38,Business travel,297,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,26,Personal Travel,304,4,7,17,neutral or dissatisfied
Loyal Customer,Eco,Male,47,Personal Travel,628,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,43,Business travel,2993,5,135,135,satisfied
Loyal Customer,Eco,Male,43,Personal Travel,304,4,0,0,neutral or dissatisfied
disloyal Customer,Eco,Male,72,Business travel,902,1,0,0,neutral or dissatisfied
